م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
34 | 34 | 33 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 34 | ص033 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
35 | 35 | 34 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 35 | ص034 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
36 | 36 | 35 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 36 | ص035 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
37 | 37 | 36 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 37 | ص036 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
38 | 38 | 37 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 38 | ص037 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
39 | 39 | 38 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 39 | ص038 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
40 | 40 | 39 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 40 | ص039 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
41 | 41 | 40 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 41 | ص040 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
42 | 42 | 41 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 42 | ص041 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
43 | 43 | 42 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | السياسات الاستعمارية أثناء الحربين العالميتين | PDF page 43 | ص042 - السياسات الاستعمارية أثناء الحربين العالميتين.jpg
44 | 44 | 43 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | تقويم الوحدة الرابعة | PDF page 44 | ص043 - تقويم الوحدة الرابعة.jpg
45 | 45 | 44 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والثورات التحررية في الوطن العربي | PDF page 45 | ص044 - الحركات الوطنية والثورات التحررية في الوطن العربي.jpg
46 | 46 | 45 | الوحدة الخامسة: الحركات الوطنية والثورات التحررية في الوطن العربي | الحركات الوطنية والتحرر من الاستعمار البريطاني | PDF page 46 | ص045 - الحركات الوطنية والتحرر من الاستعمار البريطاني.jpg
