م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
54 | 54 | 53 | الوحدة الثانية: العثمانيون والوطن العربي | نظام الحكم العثماني | صفحة_54.jpg | ص053 - نظام الحكم العثماني.jpg
55 | 55 | 54 | الوحدة الثانية: العثمانيون والوطن العربي | نظام الحكم العثماني | صفحة_55.jpg | ص054 - نظام الحكم العثماني.jpg
56 | 56 | 55 | الوحدة الثانية: العثمانيون والوطن العربي | نظام الحكم العثماني | صفحة_56.jpg | ص055 - نظام الحكم العثماني.jpg
57 | 57 | 56 | الوحدة الثانية: العثمانيون والوطن العربي | نظام الحكم العثماني | صفحة_57.jpg | ص056 - نظام الحكم العثماني.jpg
58 | 58 | 57 | الوحدة الثانية: العثمانيون والوطن العربي | نظام الحكم العثماني | صفحة_58.jpg | ص057 - نظام الحكم العثماني.jpg
59 | 59 | 58 | الوحدة الثانية: العثمانيون والوطن العربي | مقاومة العرب للحكم العثماني | صفحة_59.jpg | ص058 - مقاومة العرب للحكم العثماني.jpg
60 | 60 | 59 | الوحدة الثانية: العثمانيون والوطن العربي | مقاومة العرب للحكم العثماني | صفحة_60.jpg | ص059 - مقاومة العرب للحكم العثماني.jpg
61 | 61 | 60 | الوحدة الثانية: العثمانيون والوطن العربي | مقاومة العرب للحكم العثماني | صفحة_61.jpg | ص060 - مقاومة العرب للحكم العثماني.jpg
62 | 62 | 61 | الوحدة الثانية: العثمانيون والوطن العربي | مقاومة العرب للحكم العثماني | صفحة_62.jpg | ص061 - مقاومة العرب للحكم العثماني.jpg
63 | 63 | 62 | الوحدة الثانية: العثمانيون والوطن العربي | مقاومة العرب للحكم العثماني | صفحة_63.jpg | ص062 - مقاومة العرب للحكم العثماني.jpg
64 | 64 | 63 | الوحدة الثانية: العثمانيون والوطن العربي | مقاومة العرب للحكم العثماني | صفحة_64.jpg | ص063 - مقاومة العرب للحكم العثماني.jpg
65 | 65 | 64 | الوحدة الثانية: العثمانيون والوطن العربي | مقاومة العرب للحكم العثماني | صفحة_65.jpg | ص064 - مقاومة العرب للحكم العثماني.jpg
66 | 66 | 65 | الوحدة الثانية: العثمانيون والوطن العربي | مقاومة العرب للحكم العثماني | صفحة_66.jpg | ص065 - مقاومة العرب للحكم العثماني.jpg
67 | 67 | 66 | الوحدة الثانية: العثمانيون والوطن العربي | مقاومة العرب للحكم العثماني | صفحة_67.jpg | ص066 - مقاومة العرب للحكم العثماني.jpg
68 | 68 | 67 | الوحدة الثالثة: اليمن والحكم العثماني | اليمن والحكم العثماني | صفحة_68.jpg | ص067 - اليمن والحكم العثماني.jpg
69 | 69 | 68 | الوحدة الثالثة: اليمن والحكم العثماني | اليمن والحكم العثماني | صفحة_69.jpg | ص068 - اليمن والحكم العثماني.jpg
70 | 70 | 69 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_70.jpg | ص069 - مراحل الحكم العثماني في اليمن.jpg
71 | 71 | 70 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_71.jpg | ص070 - مراحل الحكم العثماني في اليمن.jpg
72 | 72 | 71 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_72.jpg | ص071 - مراحل الحكم العثماني في اليمن.jpg
73 | 73 | 72 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_73.jpg | ص072 - مراحل الحكم العثماني في اليمن.jpg
74 | 74 | 73 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_74.jpg | ص073 - مراحل الحكم العثماني في اليمن.jpg
75 | 75 | 74 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_75.jpg | ص074 - مراحل الحكم العثماني في اليمن.jpg
