م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
67 | 67 | 66 | مجال التلاوة | مجال التلاوة - سورة يوسف وسورة الرعد وسورة إبراهيم | صفحة_67.jpg | ص066 - مجال التلاوة - سورة يوسف وسورة الرعد وسورة إبراهيم.jpg
68 | 68 | 67 | مجال الحفظ والتفسير | مجال الحفظ والتفسير - سورة لقمان | صفحة_68.jpg | ص067 - مجال الحفظ والتفسير - سورة لقمان.jpg
69 | 69 | 68 | مجال الحفظ والتفسير | سورة لقمان الآيات (1-7): القرآن بين قلب يهتدي وقلب يعرض | صفحة_69.jpg | ص068 - سورة لقمان الآيات (1-7) - القرآن بين قلب يهتدي وقلب يعرض.jpg
70 | 70 | 69 | مجال الحفظ والتفسير | سورة لقمان الآيات (1-7): القرآن بين قلب يهتدي وقلب يعرض | صفحة_70.jpg | ص069 - سورة لقمان الآيات (1-7) - القرآن بين قلب يهتدي وقلب يعرض.jpg
71 | 71 | 70 | مجال الحفظ والتفسير | سورة لقمان الآيات (1-7): القرآن بين قلب يهتدي وقلب يعرض | صفحة_71.jpg | ص070 - سورة لقمان الآيات (1-7) - القرآن بين قلب يهتدي وقلب يعرض.jpg
72 | 72 | 71 | مجال الحفظ والتفسير | سورة لقمان الآيات (1-7): القرآن بين قلب يهتدي وقلب يعرض | صفحة_72.jpg | ص071 - سورة لقمان الآيات (1-7) - القرآن بين قلب يهتدي وقلب يعرض.jpg
73 | 73 | 72 | مجال الحفظ والتفسير | سورة لقمان الآيات (1-7): القرآن بين قلب يهتدي وقلب يعرض | صفحة_73.jpg | ص072 - سورة لقمان الآيات (1-7) - القرآن بين قلب يهتدي وقلب يعرض.jpg
74 | 74 | 73 | مجال الحفظ والتفسير | سورة لقمان الآيات (1-7): القرآن بين قلب يهتدي وقلب يعرض | صفحة_74.jpg | ص073 - سورة لقمان الآيات (1-7) - القرآن بين قلب يهتدي وقلب يعرض.jpg
75 | 75 | 74 | مجال الحفظ والتفسير | سورة لقمان الآيات (8-11): وعد الله حقًا | صفحة_75.jpg | ص074 - سورة لقمان الآيات (8-11) - وعد الله حقًا.jpg
76 | 76 | 75 | مجال الحفظ والتفسير | سورة لقمان الآيات (8-11): وعد الله حقًا | صفحة_76.jpg | ص075 - سورة لقمان الآيات (8-11) - وعد الله حقًا.jpg
77 | 77 | 76 | مجال الحفظ والتفسير | سورة لقمان الآيات (8-11): وعد الله حقًا | صفحة_77.jpg | ص076 - سورة لقمان الآيات (8-11) - وعد الله حقًا.jpg
78 | 78 | 77 | مجال الحفظ والتفسير | سورة لقمان الآيات (8-11): وعد الله حقًا | صفحة_78.jpg | ص077 - سورة لقمان الآيات (8-11) - وعد الله حقًا.jpg
79 | 79 | 78 | مجال الحفظ والتفسير | سورة لقمان الآيات (8-11): وعد الله حقًا | صفحة_79.jpg | ص078 - سورة لقمان الآيات (8-11) - وعد الله حقًا.jpg
80 | 80 | 79 | مجال الحفظ والتفسير | سورة لقمان الآيات (12-19): وصايا لقمان: منهج الحكمة في بناء الإنسان | صفحة_80.jpg | ص079 - سورة لقمان الآيات (12-19) - وصايا لقمان - منهج الحكمة في بناء الإنسان.jpg
81 | 81 | 80 | مجال الحفظ والتفسير | سورة لقمان الآيات (12-19): وصايا لقمان: منهج الحكمة في بناء الإنسان | صفحة_81.jpg | ص080 - سورة لقمان الآيات (12-19) - وصايا لقمان - منهج الحكمة في بناء الإنسان.jpg
82 | 82 | 81 | مجال الحفظ والتفسير | سورة لقمان الآيات (12-19): وصايا لقمان: منهج الحكمة في بناء الإنسان | صفحة_82.jpg | ص081 - سورة لقمان الآيات (12-19) - وصايا لقمان - منهج الحكمة في بناء الإنسان.jpg
83 | 83 | 82 | مجال الحفظ والتفسير | سورة لقمان الآيات (12-19): وصايا لقمان: منهج الحكمة في بناء الإنسان | صفحة_83.jpg | ص082 - سورة لقمان الآيات (12-19) - وصايا لقمان - منهج الحكمة في بناء الإنسان.jpg
84 | 84 | 83 | مجال الحفظ والتفسير | سورة لقمان الآيات (12-19): وصايا لقمان: منهج الحكمة في بناء الإنسان | صفحة_84.jpg | ص083 - سورة لقمان الآيات (12-19) - وصايا لقمان - منهج الحكمة في بناء الإنسان.jpg
85 | 85 | 84 | مجال الحفظ والتفسير | سورة لقمان الآيات (12-19): وصايا لقمان: منهج الحكمة في بناء الإنسان | صفحة_85.jpg | ص084 - سورة لقمان الآيات (12-19) - وصايا لقمان - منهج الحكمة في بناء الإنسان.jpg
